index,code,type_of_activity,country,2014_total,2014_direct,2015_total,2015_direct,2016_total,2016_direct,2017_total,2017_direct,2018_total,2018_direct,2019_total,2019_direct,2020_total,2020_direct,2021_total,2021_direct,2022_total,2022_direct,2023_totoal,2023_direct
127,46,"մեծածախ առևտուր, բացի ավտոմեքենաների և մոտոցիկլների առևտրից",Netherlands,80,71.8,47.1,66.5,10,,62.2,62.2,2.3,2.3,8,8,6.2,6.2,,,,,1701.6,
128,46,"մեծածախ առևտուր, բացի ավտոմեքենաների և մոտոցիկլների առևտրից",Russian Federation,825.8,,2530.6,,679.9,1539.2,2131.7,2657,4685.4,3827.6,2471.8,2807.3,6127.1,4419.1,3551.9,5743.7,3642.8,149,8.6,8.6
129,46,"մեծածախ առևտուր, բացի ավտոմեքենաների և մոտոցիկլների առևտրից",Sweden,,,,,,,,,,,,,,,,,,,1376.9,
130,46,"մեծածախ առևտուր, բացի ավտոմեքենաների և մոտոցիկլների առևտրից",Switzerland,724.7,724.7,893.4,1162.5,247.1,22.7,295.1,219,117.4,89.6,1541.3,1565.5,617.8,722.7,61.1,46.9,1280.2,1288,1054.1,1054.1
131,46,"մեծածախ առևտուր, բացի ավտոմեքենաների և մոտոցիկլների առևտրից",United Kingdom,,,,,,,,,,,,,,,,,,,1,
132,46,"մեծածախ առևտուր, բացի ավտոմեքենաների և մոտոցիկլների առևտրից",United States,30.8,30.8,30.8,30.8,,,,,,,143.1,143.1,98.7,98.7,3.2,3.2,23.1,23.1,50.4,50.4
133,46,"մեծածախ առևտուր, բացի ավտոմեքենաների և մոտոցիկլների առևտրից",Other countries,,,,,,,,,,,,,,,,,,,918.3,
134,47,"մանրածախ առևտուր, բացի ավտոմեքենաների և մոտոցիկլների առևտրից","Virgin Islands, British",,,,,,,,,1486.6,627.5,2090.2,-0.1,,,,,,,1099,
135,47,"մանրածախ առևտուր, բացի ավտոմեքենաների և մոտոցիկլների առևտրից",Cayman Islands,,,1700.3,,268,,617.8,,728.2,,,,,,,,863.1,863.1,,
136,47,"մանրածախ առևտուր, բացի ավտոմեքենաների և մոտոցիկլների առևտրից",Cyprus,16.4,,101.8,,5.8,,5.5,,15,,11.4,,1.5,,30,24,3.8,-0.3,8.2,8.2
137,47,"մանրածախ առևտուր, բացի ավտոմեքենաների և մոտոցիկլների առևտրից",France,0.7,0.7,,,1.1,1.1,,,,,,,,,,,,,3.1,
138,47,"մանրածախ առևտուր, բացի ավտոմեքենաների և մոտոցիկլների առևտրից",Georgia,,,,,,,,,,,,,,,,,,,182,
139,47,"մանրածախ առևտուր, բացի ավտոմեքենաների և մոտոցիկլների առևտրից",Netherlands,13.3,13.3,,,2.2,2.2,7,7,5.3,5.3,,,1.3,1.3,,,,,,
140,47,"մանրածախ առևտուր, բացի ավտոմեքենաների և մոտոցիկլների առևտրից",Russian Federation,60,60,507.1,41,810.6,179.3,246.1,246.1,50.1,50.1,165.5,165.5,7.4,7.4,17.3,17.3,156.4,156.4,,
141,47,"մանրածախ առևտուր, բացի ավտոմեքենաների և մոտոցիկլների առևտրից",Switzerland,,,335.8,47.7,115.2,115.6,28.2,4.5,27.2,10.5,,,,,,,,,2879.3,2654.2
142,47,"մանրածախ առևտուր, բացի ավտոմեքենաների և մոտոցիկլների առևտրից",United Arab Emirates,,,12164.2,,1857.5,,463.8,463.8,581.3,581.3,703.9,703.9,320.7,320.7,144.8,144.8,26.1,26.1,249.5,249.5
143,47,"մանրածախ առևտուր, բացի ավտոմեքենաների և մոտոցիկլների առևտրից",United Kingdom,,,,,,,,,,,,,443.7,,934,,106.5,0.9,4271,1.4
144,47,"մանրածախ առևտուր, բացի ավտոմեքենաների և մոտոցիկլների առևտրից",United States,36.3,,4.6,,13.5,,22.1,,,,4.4,,,,,,,,,
145,47,"մանրածախ առևտուր, բացի ավտոմեքենաների և մոտոցիկլների առևտրից",Other countries,,,,,,,,,,,,,,,,,,,3727.4,
146,49,ցամաքային տրանսպորտի  գործունեություն և փոխադրում խողովակաշարերով,International organizations,,,,,,,,,,,,,,,5044.3,,247.3,,9091.3,
147,49,ցամաքային տրանսպորտի  գործունեություն և փոխադրում խողովակաշարերով,Georgia,,,,,,,,,,,,,-0.7,,2.8,,,,,
148,49,ցամաքային տրանսպորտի  գործունեություն և փոխադրում խողովակաշարերով,"Iran,Islamic Republic of",,,,,,,,,,,,,,,19.4,19.4,11.9,11.9,2.1,2.1
149,49,ցամաքային տրանսպորտի  գործունեություն և փոխադրում խողովակաշարերով,Russian Federation,1043.5,864,297.6,13,1233.1,591.5,771.1,183.7,930.2,551.3,1636.5,1114.2,1793.3,1865.7,8477.4,1266.5,3202,2304.5,798.6,430.6
150,49,ցամաքային տրանսպորտի  գործունեություն և փոխադրում խողովակաշարերով,Other countries,,,,,,,,,,,,,,,,,,,101,
151,51,օդային տրանսպորտի գործունեություն,Argentina,15740.7,97.7,34550.3,,7766.8,,7462.1,,11362.1,,281.6,7978.4,15335.1,10761.6,20131.3,20166.2,10519.4,15287.2,,
152,51,օդային տրանսպորտի գործունեություն,Georgia,,,,,1009,135.5,181.2,83.6,2547.1,761.5,798.4,1118.4,828.5,202.6,265.4,35,1650,413.4,2488.8,2488.8
153,51,օդային տրանսպորտի գործունեություն,Luxembourg,,,,,,,,,,,,,,,,,,,24639.7,24639.7
154,51,օդային տրանսպորտի գործունեություն,United Arab Emirates,,,,,,,,,,,,,,,,,2294.5,1645.6,579.9,1501.1
155,51,օդային տրանսպորտի գործունեություն,Ukraine,,,,,,,188.3,188.3,110.9,110.9,57.1,57.1,350.8,350.8,,,,,,
156,51,օդային տրանսպորտի գործունեություն,United Kingdom,2068.3,,,,,,,,,,,,,,,,,,,
157,51,օդային տրանսպորտի գործունեություն,Other countries,,,,,,,,,,,,,,,,,,,458.5,
158,52,պահեստավորում և տրանսպորտային օժանդակ գործունեություն, Argentina,,,,,,,,,,,,,,,610.9,610.9,,,,
159,52,պահեստավորում և տրանսպորտային օժանդակ գործունեություն,Georgia,10.8,9.9,0.5,-0.2,1.1,1.8,0.1,,12.3,8.3,1.4,,,,,,,,,
